UA71|Cherkaska|Черкаська
UA74|Chernihivska|Чернігівська
UA73|Chernivetska|Чернівецька
UA12|Dnipropetrovska|Дніпропетровська
UA14|Donetska|Донецька
UA26|Ivano-Frankivska|Івано-Франківська
UA63|Kharkivska|Харківська
UA65|Khersonska|Херсонська
UA68|Khmelnytska|Хмельницька
UA35|Kirovohradska|Кіровоградська
UA80|Kyiv|Київська
UA32|Kyivska|Київська
UA44|Luhanska|Луганська
UA46|Lvivska|Львівська
UA48|Mykolaivska|Миколаївська
UA51|Odeska|Одеська
UA53|Poltavska|Полтавська
UA56|Rivnenska|Рівненська
UA59|Sumska|Сумська
UA61|Ternopilska|Тернопільська
UA05|Vinnytska|Вінницька
UA07|Volynska|Волинська
UA21|Zakarpatska|Закарпатська
UA23|Zaporizka|Запорізька
UA18|Zhytomyrska|Житомирська